AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,NOX
1,-0.303629692711026,-0.544543924157244,-0.0205454280016388,-0.0544805014772709,0.161895475900513,0.445712810249993,-0.198059690846801,-0.0914396151576349,-0.566583777177778
-0.303629692711026,1,0.0318605152625197,-0.0502618327118779,0.0250861652551253,-0.0113612487022814,-0.153964467210707,0.071081218978462,0.0651577777239388,0.147930084862628
-0.544543924157245,0.0318605152625197,1,-0.13992935473203,-0.197410339256364,-0.268054487050041,-0.0511820359409064,-0.107314609876183,-0.179342957857092,0.0805752974019324
-0.0205454280016388,-0.0502618327118779,-0.13992935473203,1,0.66960920513876,0.538203542738814,-0.487747673522761,0.623471190536451,0.643475776149611,-0.0541302863470255
-0.0544805014772709,0.0250861652551253,-0.197410339256364,0.66960920513876,1,0.867926296521789,-0.693876209681573,0.977944544898907,0.994281245864175,-0.157915015647335
0.161895475900513,-0.0113612487022814,-0.268054487050041,0.538203542738814,0.867926296521789,1,-0.254020226332573,0.880744312585717,0.88530593441941,-0.226817056763503
0.445712810249993,-0.153964467210707,-0.0511820359409064,-0.487747673522761,-0.693876209681573,-0.254020226332573,1,-0.65974949600313,-0.67149456897991,-0.0931176251203558
-0.198059690846801,0.071081218978462,-0.107314609876183,0.623471190536451,0.977944544898907,0.880744312585717,-0.65974949600313,1,0.988539259894639,-0.0667080960865724
-0.0914396151576348,0.0651577777239388,-0.179342957857092,0.643475776149611,0.994281245864175,0.88530593441941,-0.67149456897991,0.988539259894639,1,-0.125703958229136
-0.566583777177778,0.147930084862628,0.0805752974019323,-0.0541302863470255,-0.157915015647335,-0.226817056763503,-0.0931176251203558,-0.0667080960865724,-0.125703958229136,1
