AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,NOX
0,0.0237871690487813,0.0921700749816677,0.706325399781576,0.228259963472337,0.302302526162508,-0.0195335282047922,0.313644632874447,0.296691341293312,0.0576273348635814
0.0237871690487813,0,0.0302191480498546,-0.306021398272103,-0.159042025811635,-0.139196450726229,-0.0265398973105936,-0.147114823065898,-0.141432033299539,-0.175629411466869
0.0921700749816677,0.0302191480498546,0,-0.151420541290882,-0.0876877912737776,-0.0344740028079961,-0.0447860396424347,-0.0673769651036252,-0.0339424766657601,-0.14340516647046
0.706325399781576,-0.306021398272103,-0.151420541290882,0,-0.0466757543630042,0.125124086912748,0.222149278466877,-0.0200221112839417,0.0234558562941012,-0.547403597528373
0.228259963472337,-0.159042025811635,-0.0876877912737776,-0.0466757543630041,0,0.00941312795169291,0.188886406813929,-0.0451733170191119,-0.0564143649447532,-0.117038031819231
0.302302526162508,-0.139196450726229,-0.0344740028079961,0.125124086912748,0.0094131279516928,0,0.0549977683778672,0.0465721175947825,0.0584900377154999,-0.2880964327856
-0.0195335282047922,-0.0265398973105936,-0.0447860396424347,0.222149278466877,0.188886406813929,0.0549977683778673,0,0.133663186807634,0.144602426429348,-0.0331102631556432
0.313644632874447,-0.147114823065898,-0.0673769651036252,-0.0200221112839417,-0.045173317019112,0.0465721175947826,0.133663186807634,0,0.0027615939939325,-0.276875828138117
0.296691341293312,-0.141432033299539,-0.0339424766657602,0.0234558562941012,-0.056414364944753,0.0584900377154998,0.144602426429348,0.0027615939939325,0,-0.243230372623287
0.0576273348635815,-0.175629411466869,-0.14340516647046,-0.547403597528373,-0.117038031819231,-0.2880964327856,-0.0331102631556432,-0.276875828138117,-0.243230372623287,0
